# velocity_kms flux error
62.49575 12.17415 8.94035
64.32603 9.36352 9.98407
66.18959 5.99026 8.89355
68.05314 -6.47175 10.70528
69.91670 -6.37281 11.02116
71.78026 10.89068 10.98173
73.61054 6.65624 12.14770
75.47410 -0.35370 10.92227
77.33765 -0.78821 13.54583
79.20121 -1.02209 14.50554
81.06477 -0.80247 15.17136
82.92833 7.47638 14.87915
84.75861 21.79867 12.61160
86.62217 7.31198 14.93588
88.48573 -4.06327 14.70070
90.34929 -8.91592 15.99962
92.21284 0.19920 16.18295
94.04312 27.14463 14.99370
95.90668 8.54019 16.63907
97.77024 -9.97150 14.67273
99.63380 17.40811 19.99890
