velocity_kms flux_normalized error
-16.9640 0.0153 0.0123
-14.4641 -0.0036 0.0113
-11.9642 -0.0205 0.0115
-9.4643 -0.0130 0.0116
-6.9644 0.0160 0.0124
-4.4645 -0.0022 0.0117
-1.9645 0.0012 0.0117
0.5355 -0.0060 0.0116
3.0355 -0.0020 0.0113
5.5355 -0.0097 0.0115
8.0356 -0.0143 0.0119
10.5356 0.0054 0.0118
13.0357 -0.0051 0.0118
15.5358 -0.0080 0.0112
18.0359 0.0010 0.0113
20.5361 0.0058 0.0114
23.0363 0.0036 0.0112
25.5365 -0.0189 0.0111
28.0367 -0.0166 0.0119
30.5369 -0.0247 0.0114
33.0372 -0.0069 0.0119
35.5374 0.0090 0.0126
38.0377 0.0069 0.0123
40.5381 0.0257 0.0129
43.0384 0.0123 0.0120
45.5387 0.0051 0.0126
48.0391 0.0073 0.0119
50.5395 0.0164 0.0125
53.0400 0.0115 0.0113
55.5404 0.0033 0.0117
58.0409 0.0268 0.0128
60.5413 0.0006 0.0116
63.0418 0.0043 0.0115
65.5424 0.0147 0.0122
68.0429 -0.0082 0.0117
70.5435 -0.0158 0.0112
73.0441 -0.0150 0.0118
75.5447 0.0011 0.0116
78.0453 0.0064 0.0118
80.5460 0.0248 0.0132
83.0466 0.0369 0.0131
85.5473 0.0204 0.0121
88.0480 0.0015 0.0112
90.5488 0.0232 0.0120
93.0495 0.0174 0.0112
95.5503 -0.0039 0.0113
98.0511 0.0009 0.0112
100.5519 0.0046 0.0108
103.0528 0.0133 0.0114
105.5536 0.0091 0.0113
108.0545 0.0255 0.0123
110.5554 0.0544 0.0137
113.0563 0.1118 0.0167
115.5573 0.2449 0.0224
118.0582 0.3342 0.0251
120.5592 0.4622 0.0285
123.0602 0.5750 0.0308
125.5612 0.6107 0.0319
128.0623 0.7082 0.0567
130.5634 0.7140 0.0552
133.0644 0.7870 0.0581
135.5656 0.7940 0.0588
138.0667 0.8102 0.0588
140.5678 0.8955 0.0616
143.0690 0.8475 0.0622
145.5702 0.8319 0.0364
148.0714 0.8563 0.0369
150.5727 0.8607 0.0372
153.0739 0.8238 0.0363
155.5752 0.9076 0.0378
158.0765 0.9225 0.0376
160.5778 0.8896 0.0370
163.0791 0.9532 0.0386
165.5805 0.9110 0.0376
168.0819 0.9368 0.0384
170.5833 0.8835 0.0378
173.0847 0.9581 0.0388
175.5861 0.9524 0.0384
178.0876 0.9355 0.0385
180.5891 0.8654 0.0374
183.0906 0.9082 0.0379
185.5921 0.9300 0.0382
188.0937 0.9435 0.0382
190.5952 0.9397 0.0381
193.0968 0.9460 0.0385
195.5984 0.9262 0.0380
198.1001 0.8964 0.0374
200.6017 0.8765 0.0373
203.1034 0.8621 0.0370
205.6051 0.9259 0.0377
208.1068 0.9529 0.0383
210.6085 0.9065 0.0378
213.1103 0.9208 0.0377
215.6121 0.9461 0.0386
218.1139 0.9746 0.0390
220.6157 0.9607 0.0382
223.1175 0.9766 0.0386
225.6194 0.9303 0.0379
228.1213 0.9268 0.0379
230.6232 0.9445 0.0386
233.1251 0.9527 0.0386
235.6270 0.9210 0.0383
238.1290 1.0167 0.0393
240.6310 0.9866 0.0387
243.1330 0.9284 0.0376
