# velocity_kms flux_normalized error
-55.0793 9.6332e-01 2.4941e-01
-53.3849 1.2130e+00 3.0032e-01
-51.6906 1.4204e+00 3.1274e-01
-49.9963 1.1227e+00 2.7033e-01
-48.3019 1.3719e+00 2.9581e-01
-46.6076 1.2599e+00 2.9065e-01
-44.9132 1.1382e+00 3.0747e-01
-43.2189 1.0516e+00 3.0611e-01
-41.5246 9.0018e-01 2.6118e-01
-39.8302 9.8233e-01 3.0970e-01
-38.1359 1.1739e+00 3.1668e-01
-36.4415 1.5266e+00 2.9335e-01
-34.7472 1.4057e+00 3.3044e-01
-33.0529 1.1916e+00 3.2867e-01
-31.3585 8.2134e-01 2.9047e-01
-29.6642 1.2032e+00 3.1819e-01
-27.9698 1.4006e+00 3.2877e-01
-26.2755 9.1681e-01 3.1349e-01
-24.5811 8.8736e-01 3.0955e-01
-22.8868 9.9989e-01 2.7393e-01
-21.1925 8.1785e-01 3.1926e-01
-19.4981 8.6166e-01 3.1965e-01
-17.8038 1.3057e+00 2.9798e-01
-16.1094 1.1587e+00 3.3839e-01
-14.4151 1.0291e+00 3.3500e-01
-12.7208 1.2723e+00 3.2771e-01
-11.0264 9.0544e-01 3.2446e-01
-9.3321 1.0770e+00 3.2626e-01
-7.6377 1.0313e+00 3.5359e-01
-5.9434 9.3477e-01 3.4118e-01
-4.2491 9.3033e-01 2.9270e-01
-2.5547 9.5783e-01 3.5442e-01
-0.8604 1.2236e+00 3.7081e-01
0.8340 1.1576e+00 3.1296e-01
2.5283 9.3145e-01 3.5378e-01
4.2226 7.9839e-01 3.4889e-01
5.9170 7.7921e-01 3.1788e-01
7.6113 1.1999e+00 3.6965e-01
9.3057 1.0561e+00 3.7437e-01
11.0000 1.0005e+00 3.7954e-01
12.6944 1.1591e+00 3.8031e-01
14.3887 1.2828e+00 3.5712e-01
16.0830 7.3274e-01 3.7492e-01
17.7774 1.1587e+00 3.8738e-01
19.4717 9.7926e-01 3.3401e-01
21.1661 1.1137e+00 4.1715e-01
22.8604 1.2452e+00 4.2602e-01
24.5547 9.2535e-01 3.6101e-01
26.2491 9.5729e-01 4.0687e-01
27.9434 1.1963e+00 4.2787e-01
29.6378 1.1874e+00 4.0543e-01
31.3321 1.1594e+00 4.2607e-01
33.0264 1.0480e+00 4.1466e-01
34.7208 1.0060e+00 4.0884e-01
36.4151 1.2147e+00 4.2428e-01
38.1095 1.2855e+00 3.9293e-01
39.8038 8.1271e-01 4.2829e-01
41.4981 8.4087e-01 4.3604e-01
43.1925 1.2998e+00 4.0031e-01
44.8868 1.4751e+00 4.7929e-01
46.5812 1.4474e+00 4.8439e-01
48.2755 1.2403e+00 4.3079e-01
49.9699 1.2231e+00 4.7227e-01
51.6642 1.2248e+00 4.8176e-01
53.3585 1.0718e+00 4.7303e-01
55.0529 9.0522e-01 4.7815e-01
56.7472 1.3558e+00 4.7521e-01
58.4416 1.1652e+00 5.1768e-01
60.1359 8.8259e-01 5.1447e-01
61.8302 6.5312e-01 4.2616e-01
63.5246 7.8128e-01 5.0818e-01
65.2189 6.0865e-01 5.1355e-01
66.9133 7.1162e-01 4.5155e-01
68.6076 8.7849e-01 5.3587e-01
70.3019 1.1652e+00 5.5714e-01
71.9963 1.4838e+00 5.1576e-01
73.6906 1.4086e+00 5.6353e-01
75.3850 1.1411e+00 5.7240e-01
77.0793 1.5585e+00 6.2803e-01
78.7736 1.4335e+00 6.1462e-01
80.4680 1.3178e+00 5.7108e-01
82.1623 1.3180e+00 6.3091e-01
83.8567 1.2357e+00 6.4069e-01
85.5510 1.6590e+00 5.9556e-01
87.2454 1.0158e+00 6.5164e-01
88.9397 1.0307e+00 6.7566e-01
90.6340 1.4116e+00 5.8755e-01
92.3284 1.4062e+00 6.6814e-01
94.0227 1.0895e+00 6.7942e-01
95.7171 2.1167e+00 6.9574e-01
97.4114 1.5074e+00 7.1283e-01
99.1057 1.0231e+00 7.3909e-01
