component_id,velocity_kms,redshift,metal_fraction,b_kms,log_N_HI_inferred,source,uncertainty
0,-12.43,2.61828,0.31,3.5,19.8,Pettini2008_Table2,0.05
1,0.0,2.61843,0.69,5.2,20.15,Pettini2008_Table2,0.05
