# velocity_kms flux_normalized error
-63.3234 6.7733e+00 8.6160e+00
-61.6332 6.8868e+00 9.4712e+00
-59.9429 3.8631e+00 9.2930e+00
-58.2527 -7.8158e+00 7.2717e+00
-56.5625 2.6471e+00 8.6508e+00
-54.8723 2.6566e+00 8.5780e+00
-53.1821 -1.8424e+01 6.4864e+00
-51.4918 -7.7182e-01 8.5303e+00
-49.8016 5.0851e+00 8.6278e+00
-48.1114 -4.0900e+00 7.0447e+00
-46.4212 -5.1400e+00 8.2539e+00
-44.7309 -7.3031e+00 8.0816e+00
-43.0407 -1.1003e+01 6.3038e+00
-41.3505 -5.4528e-01 8.5815e+00
-39.6603 8.4602e-01 8.5943e+00
-37.9700 -4.3401e+00 6.8634e+00
-36.2798 6.5859e+00 8.5787e+00
-34.5896 9.9087e+00 8.7216e+00
-32.8994 9.3303e+00 7.7916e+00
-31.2091 -5.1034e+00 7.1476e+00
-29.5189 -5.3507e+00 7.0752e+00
-27.8287 -3.2659e-01 6.4858e+00
-26.1385 -5.1666e+00 6.9041e+00
-24.4482 -3.7702e+00 7.0619e+00
-22.7580 -3.0610e-02 6.9968e+00
-21.0678 1.2900e+01 8.1878e+00
-19.3776 2.1077e+00 7.3344e+00
-17.6873 -8.6417e+00 6.3498e+00
-15.9971 1.8295e+01 8.9936e+00
-14.3069 6.0564e+00 9.1112e+00
-12.6167 -1.3556e+00 9.2787e+00
-10.9264 4.1603e+01 8.2145e+00
-9.2362 1.6039e+01 7.4910e+00
-7.5460 -5.4510e+00 6.7406e+00
-5.8558 1.4661e+00 7.0178e+00
-4.1656 6.9768e+00 7.4421e+00
-2.4753 7.5987e+00 7.1759e+00
-0.7851 -3.2508e+00 5.6349e+00
0.9051 6.7047e-01 6.7979e+00
2.5953 1.2387e+00 6.7349e+00
4.2856 -3.7877e+00 5.1422e+00
5.9758 6.1909e-01 6.8914e+00
7.6660 2.2777e+00 7.0280e+00
9.3562 1.5333e+00 6.0249e+00
11.0465 -1.6693e+00 6.1708e+00
12.7367 -2.8849e+00 6.0358e+00
14.4269 -2.8019e+00 5.1457e+00
16.1171 -2.3403e+00 5.8495e+00
17.8074 -4.1278e+00 5.8499e+00
19.4976 -6.7459e+00 5.2112e+00
21.1878 -2.0015e+00 6.1374e+00
22.8780 2.0588e-01 6.2611e+00
24.5683 1.3453e+00 6.1115e+00
26.2585 -2.6746e+00 5.6856e+00
27.9487 -1.4725e+00 6.0502e+00
29.6389 3.9213e-01 6.4812e+00
31.3292 -2.1776e-02 5.9148e+00
33.0194 9.0866e-01 5.7498e+00
34.7096 1.1305e+00 5.5750e+00
36.3998 -2.4915e+00 5.3720e+00
38.0901 2.0775e+00 5.6457e+00
39.7803 4.1417e+00 5.5142e+00
41.4705 -1.7283e+00 5.0085e+00
43.1607 6.2471e+00 6.4319e+00
44.8509 6.8791e+00 6.4439e+00
46.5412 -4.1699e+00 4.5521e+00
48.2314 -7.7305e+00 5.2312e+00
49.9216 -5.5271e+00 5.2571e+00
51.6118 2.9935e+00 4.7451e+00
53.3021 3.2275e-01 5.4484e+00
54.9923 -7.3590e-01 5.4050e+00
56.6825 -1.2463e+00 4.5746e+00
58.3727 -7.8209e-01 5.5770e+00
60.0630 -1.2435e+00 5.8637e+00
61.7532 -1.8731e+00 5.8470e+00
63.4434 5.0624e-02 5.2409e+00
65.1336 5.3856e-01 5.1609e+00
66.8239 4.1632e-01 5.1060e+00
68.5141 -2.4631e+00 4.6989e+00
70.2043 1.3191e+00 5.0477e+00
71.8945 4.7690e+00 5.3161e+00
73.5848 4.0491e+00 6.1171e+00
75.2750 1.5610e+00 5.8198e+00
76.9652 6.5609e-01 5.3958e+00
78.6554 3.6717e+00 5.4836e+00
80.3457 4.6043e+00 6.5696e+00
82.0359 4.1123e+00 6.5098e+00
83.7261 1.7718e+00 5.1379e+00
85.4163 -2.5217e+00 5.3219e+00
87.1066 -1.8216e+00 5.1526e+00
88.7968 3.0460e+00 4.2538e+00
90.4870 3.0449e+00 5.1813e+00
92.1772 6.2402e-01 5.0325e+00
93.8674 -2.8105e+00 4.0850e+00
95.5577 4.0988e+00 6.1351e+00
97.2479 2.1141e+00 5.7047e+00
98.9381 -1.9789e+00 4.8257e+00
