[22:25:47] [INFO] ================================================================================
[22:25:47] [INFO] Script: step_03_significance
[22:25:47] [INFO] Started: 2026-08-07T22:25:47.205139
[22:25:47] [INFO] ================================================================================
[22:25:47] [SUCCESS] === GATE 3R: GENUINE MONTE CARLO CALIBRATION ===
[22:25:47] [PROCESS] Pre-calculating base True-D model fluxes...
[22:25:47] [INFO] 
[22:25:47] [INFO] ================================================================================
[22:25:47] [INFO] 
--- Running True-D Monte Carlo Simulations (200 realizations) ---
[01:22:44] [PROCESS] Completed 68/200 simulations. Parent exceedances (>=6.45): 3
[01:22:58] [PROCESS] Completed 69/200 simulations. Parent exceedances (>=6.45): 3
[01:23:51] [PROCESS] Completed 70/200 simulations. Parent exceedances (>=6.45): 3
[01:27:21] [PROCESS] Completed 71/200 simulations. Parent exceedances (>=6.45): 3
[01:27:42] [PROCESS] Completed 72/200 simulations. Parent exceedances (>=6.45): 3
[01:27:58] [PROCESS] Completed 73/200 simulations. Parent exceedances (>=6.45): 3
[01:30:44] [PROCESS] Completed 74/200 simulations. Parent exceedances (>=6.45): 3
[01:31:09] [PROCESS] Completed 75/200 simulations. Parent exceedances (>=6.45): 3
[01:31:55] [PROCESS] Completed 76/200 simulations. Parent exceedances (>=6.45): 4
[01:32:01] [PROCESS] Completed 77/200 simulations. Parent exceedances (>=6.45): 4
[01:32:52] [PROCESS] Completed 78/200 simulations. Parent exceedances (>=6.45): 4
[01:35:09] [PROCESS] Completed 79/200 simulations. Parent exceedances (>=6.45): 4
[01:35:28] [PROCESS] Completed 80/200 simulations. Parent exceedances (>=6.45): 4
[01:36:01] [PROCESS] Completed 81/200 simulations. Parent exceedances (>=6.45): 4
[01:37:07] [PROCESS] Completed 82/200 simulations. Parent exceedances (>=6.45): 4
[01:39:36] [PROCESS] Completed 83/200 simulations. Parent exceedances (>=6.45): 4
[01:40:41] [PROCESS] Completed 84/200 simulations. Parent exceedances (>=6.45): 4
[01:41:55] [PROCESS] Completed 85/200 simulations. Parent exceedances (>=6.45): 4
[01:43:50] [PROCESS] Completed 86/200 simulations. Parent exceedances (>=6.45): 4
[01:44:09] [PROCESS] Completed 87/200 simulations. Parent exceedances (>=6.45): 4
[01:44:13] [PROCESS] Completed 88/200 simulations. Parent exceedances (>=6.45): 4
[01:46:48] [PROCESS] Completed 89/200 simulations. Parent exceedances (>=6.45): 4
[01:47:03] [PROCESS] Completed 90/200 simulations. Parent exceedances (>=6.45): 4
[01:47:44] [PROCESS] Completed 91/200 simulations. Parent exceedances (>=6.45): 4
[01:48:42] [PROCESS] Completed 92/200 simulations. Parent exceedances (>=6.45): 4
[01:50:00] [PROCESS] Completed 93/200 simulations. Parent exceedances (>=6.45): 4
[01:50:03] [PROCESS] Completed 94/200 simulations. Parent exceedances (>=6.45): 4
[01:50:33] [PROCESS] Completed 95/200 simulations. Parent exceedances (>=6.45): 4
[01:52:05] [PROCESS] Completed 96/200 simulations. Parent exceedances (>=6.45): 4
[01:55:02] [PROCESS] Completed 97/200 simulations. Parent exceedances (>=6.45): 4
[01:55:07] [PROCESS] Completed 98/200 simulations. Parent exceedances (>=6.45): 5
[01:58:25] [PROCESS] Completed 99/200 simulations. Parent exceedances (>=6.45): 5
[01:58:39] [PROCESS] Completed 100/200 simulations. Parent exceedances (>=6.45): 5
[01:58:41] [PROCESS] Completed 101/200 simulations. Parent exceedances (>=6.45): 5
[01:59:43] [PROCESS] Completed 102/200 simulations. Parent exceedances (>=6.45): 5
[02:00:12] [PROCESS] Completed 103/200 simulations. Parent exceedances (>=6.45): 5
[02:00:29] [PROCESS] Completed 104/200 simulations. Parent exceedances (>=6.45): 5
[02:02:17] [PROCESS] Completed 105/200 simulations. Parent exceedances (>=6.45): 5
[02:03:00] [PROCESS] Completed 106/200 simulations. Parent exceedances (>=6.45): 5
[02:03:52] [PROCESS] Completed 107/200 simulations. Parent exceedances (>=6.45): 5
[02:05:36] [PROCESS] Completed 108/200 simulations. Parent exceedances (>=6.45): 5
[02:06:19] [PROCESS] Completed 109/200 simulations. Parent exceedances (>=6.45): 5
[02:07:07] [PROCESS] Completed 110/200 simulations. Parent exceedances (>=6.45): 6
[02:09:31] [PROCESS] Completed 111/200 simulations. Parent exceedances (>=6.45): 6
[02:09:58] [PROCESS] Completed 112/200 simulations. Parent exceedances (>=6.45): 6
[02:12:35] [PROCESS] Completed 113/200 simulations. Parent exceedances (>=6.45): 6
[02:13:43] [PROCESS] Completed 114/200 simulations. Parent exceedances (>=6.45): 6
[02:14:16] [PROCESS] Completed 115/200 simulations. Parent exceedances (>=6.45): 6
[02:14:52] [PROCESS] Completed 116/200 simulations. Parent exceedances (>=6.45): 6
[02:15:26] [PROCESS] Completed 117/200 simulations. Parent exceedances (>=6.45): 7
[02:17:40] [PROCESS] Completed 118/200 simulations. Parent exceedances (>=6.45): 7
[02:17:56] [PROCESS] Completed 119/200 simulations. Parent exceedances (>=6.45): 7
[02:18:13] [PROCESS] Completed 120/200 simulations. Parent exceedances (>=6.45): 7
[02:18:14] [PROCESS] Completed 121/200 simulations. Parent exceedances (>=6.45): 7
[02:18:46] [PROCESS] Completed 122/200 simulations. Parent exceedances (>=6.45): 7
[02:22:20] [PROCESS] Completed 123/200 simulations. Parent exceedances (>=6.45): 7
[02:23:04] [PROCESS] Completed 124/200 simulations. Parent exceedances (>=6.45): 7
[02:24:20] [PROCESS] Completed 125/200 simulations. Parent exceedances (>=6.45): 7
[02:26:28] [PROCESS] Completed 126/200 simulations. Parent exceedances (>=6.45): 7
[02:28:26] [PROCESS] Completed 127/200 simulations. Parent exceedances (>=6.45): 7
[02:28:52] [PROCESS] Completed 128/200 simulations. Parent exceedances (>=6.45): 7
[02:29:14] [PROCESS] Completed 129/200 simulations. Parent exceedances (>=6.45): 8
[02:30:37] [PROCESS] Completed 130/200 simulations. Parent exceedances (>=6.45): 8
[02:32:01] [PROCESS] Completed 131/200 simulations. Parent exceedances (>=6.45): 8
[02:33:30] [PROCESS] Completed 132/200 simulations. Parent exceedances (>=6.45): 8
[02:33:44] [PROCESS] Completed 133/200 simulations. Parent exceedances (>=6.45): 9
[02:33:51] [PROCESS] Completed 134/200 simulations. Parent exceedances (>=6.45): 10
[02:34:19] [PROCESS] Completed 135/200 simulations. Parent exceedances (>=6.45): 10
[02:35:26] [PROCESS] Completed 136/200 simulations. Parent exceedances (>=6.45): 10
[02:36:47] [PROCESS] Completed 137/200 simulations. Parent exceedances (>=6.45): 11
[02:40:37] [PROCESS] Completed 138/200 simulations. Parent exceedances (>=6.45): 11
[02:40:54] [PROCESS] Completed 139/200 simulations. Parent exceedances (>=6.45): 11
[02:42:48] [PROCESS] Completed 140/200 simulations. Parent exceedances (>=6.45): 11
[02:43:05] [PROCESS] Completed 141/200 simulations. Parent exceedances (>=6.45): 11
[02:43:43] [PROCESS] Completed 142/200 simulations. Parent exceedances (>=6.45): 11
[02:44:32] [PROCESS] Completed 143/200 simulations. Parent exceedances (>=6.45): 11
[02:46:13] [PROCESS] Completed 144/200 simulations. Parent exceedances (>=6.45): 11
[02:47:20] [PROCESS] Completed 145/200 simulations. Parent exceedances (>=6.45): 11
[02:47:22] [PROCESS] Completed 146/200 simulations. Parent exceedances (>=6.45): 11
[02:47:42] [PROCESS] Completed 147/200 simulations. Parent exceedances (>=6.45): 11
[02:48:10] [PROCESS] Completed 148/200 simulations. Parent exceedances (>=6.45): 11
[02:48:12] [PROCESS] Completed 149/200 simulations. Parent exceedances (>=6.45): 11
[02:50:27] [PROCESS] Completed 150/200 simulations. Parent exceedances (>=6.45): 12
[02:51:43] [PROCESS] Completed 151/200 simulations. Parent exceedances (>=6.45): 12
[02:55:18] [PROCESS] Completed 152/200 simulations. Parent exceedances (>=6.45): 12
[02:57:03] [PROCESS] Completed 153/200 simulations. Parent exceedances (>=6.45): 12
[02:57:33] [PROCESS] Completed 154/200 simulations. Parent exceedances (>=6.45): 12
[02:58:46] [PROCESS] Completed 155/200 simulations. Parent exceedances (>=6.45): 12
[03:00:50] [PROCESS] Completed 156/200 simulations. Parent exceedances (>=6.45): 13
[03:00:58] [PROCESS] Completed 157/200 simulations. Parent exceedances (>=6.45): 13
[03:01:33] [PROCESS] Completed 158/200 simulations. Parent exceedances (>=6.45): 13
